Case,Hs,Tp,Theta,Seed,a_x,b_x,c_x,a_y,b_y,c_y
7084,3,9,60,84,-3.388432211961088,0.0011545756049547405,0.0012245966545222455,-3.3452117794888703,0.002121573967698692,0.001215394681938676
7085,3,9,60,85,-3.3696562499952387,-0.0012038375382927356,0.0011403548769164872,-3.3522893850360473,0.00037276241685305826,0.0011236868554447086
7086,3,9,60,86,-3.3913393952951876,0.0053219366567748075,0.0011813144079904072,-3.3747069466709743,0.004740401401087037,0.0011731590714285037
7087,3,9,60,87,-3.383684368467237,-0.003039007884225984,0.0011913832974509175,-3.3733134351402865,0.002604925686479692,0.0012158406614487427
7088,3,9,60,88,-3.392085621362605,-0.001272267959736375,0.0012631079169418062,-3.3780587029120257,-0.002067844388867611,0.0012455649468187703
7089,3,9,60,89,-3.3827885283597654,0.0019919963352268743,0.0013353337012752486,-3.379697624632167,0.002497784398077901,0.0013451152245125306
7090,3,9,60,90,-3.384292901267915,-0.000426989906368747,0.0010197085282432784,-3.369491453165617,0.00255377782222799,0.0010422718910256565
7091,3,9,60,91,-3.3688947471235995,0.003155528569247175,0.001158086715287034,-3.353788333674232,0.002970458739241125,0.0011539692928786527
7092,3,9,60,92,-3.379577373960729,0.001074341712712881,0.001292422842982328,-3.3695258622841737,0.001489909132662508,0.0012752636784884915
7093,3,9,60,93,-3.3726065938221743,0.0008233683469713487,0.001312887010067747,-3.3404865172120366,0.0014001943474550298,0.0012885947803775604
7094,3,9,60,94,-3.364770270337823,0.0003484922647118378,0.0011712678097996008,-3.3470821936635407,0.00010921383427906699,0.0011553770530063124
7095,3,9,60,95,-3.4041227750712824,0.0001878706720126372,0.0008777337488335469,-3.359971952208947,0.0012169728189953526,0.0009368549128564274
7096,3,9,60,96,-3.3697660343151568,0.0012578434129367811,0.0011615613602032405,-3.38599811040741,0.0011933966760059533,0.0011894997346775056
7097,3,9,60,97,-3.385487423645315,0.0015839875832055184,0.0013020310295359236,-3.355423501024161,0.0010630488523096216,0.0012789381273890235
7098,3,9,60,98,-3.4079066174739965,0.0010363584800398818,0.0012410432521672084,-3.388313510739452,0.004276374162223325,0.0012520331681256224
7099,3,9,60,99,-3.3949983405448196,-0.00205136903102831,0.0013023396371973674,-3.3712330195554485,-0.0014667117969576148,0.0012634057832132109
7100,3,9,60,100,-3.3508013949963513,0.0025876738353315517,0.0012106318497504774,-3.3306307409705282,0.003005681007594114,0.0012019935560346727
7101,3,9,70,1,-3.3763694666468136,0.0008050075931354335,0.0012006053244519987,-3.3474934821403854,0.0007947013931516797,0.0011569508237186201
7102,3,9,70,2,-3.3707840417832777,-7.466410447340096e-05,0.0014004348563051163,-3.3460678635048957,0.0008537057394148084,0.001380414019616192
7103,3,9,70,3,-3.3783217832992856,-0.00014356869336471846,0.0013194647019341612,-3.343977889125528,0.00219855026002756,0.0012742764675035814
7104,3,9,70,4,-3.3603810008191752,-0.00013042409876953386,0.0013954060073532617,-3.331361320951907,0.0007600585683037351,0.001374191892247311
7105,3,9,70,5,-3.350080086914307,0.0038197681998567586,0.001142677144162412,-3.348015826148956,0.003977736543400799,0.0011781574929803518
7106,3,9,70,6,-3.359463254884133,0.0021827890529625394,0.0006220711542961794,-3.3550863315692134,0.0072126839595363455,0.0007272130689969488
7107,3,9,70,7,-3.385234459873355,-0.001060776408196036,0.0011228238893401694,-3.361396211292645,-0.0010037978540530872,0.001105141120232942
7108,3,9,70,8,-3.380255026039447,0.0007785939165565665,0.0013270743340941364,-3.3487192665155296,0.0037024734519327035,0.001299076753665536
7109,3,9,70,9,-3.3602433766096964,0.0005261443409859957,0.0012503307886876488,-3.3313309633287043,0.0038036521612605304,0.0012496763786934476
7110,3,9,70,10,-3.3628633180596212,0.0003240376932086206,0.0012114558939011384,-3.3644175487997496,-0.00025977520323630556,0.001216104942754004
7111,3,9,70,11,-3.369930286170471,0.001196132781923601,0.0013329153177440922,-3.3439232761442015,0.001689100514766977,0.0013235017996973402
7112,3,9,70,12,-3.399464192728602,-0.0018397058119951578,0.001236775768028231,-3.3668638221030407,-0.0014243979056112162,0.0011778586639858155
7113,3,9,70,13,-3.3902068511303156,4.925642503985587e-05,0.001336834092703851,-3.3675135065680806,0.0006306226809775758,0.001312988889228814
7114,3,9,70,14,-3.374647926564855,-1.1958520461782893e-05,0.0011064140032555052,-3.3488295029509514,0.0,0.0010970681014437155
7115,3,9,70,15,-3.3984340227637517,-0.001764951103883128,0.0010301110530337816,-3.3765095929700646,-0.003217516097422773,0.0010079235050410446
7116,3,9,70,16,-3.389901383361734,-0.00029069748557326424,0.0013823214024606925,-3.3685793581415076,0.0007410350491777447,0.001372637560693158
7117,3,9,70,17,-3.386891241616154,0.004962303606542914,0.0012028339792732054,-3.364938089395918,0.0036723396559288387,0.0011851811005666362
7118,3,9,70,18,-3.385052481968913,0.00030079778306257724,0.0010624180669221743,-3.3629639022577718,-2.6190802414507606e-05,0.0010494273022127012
7119,3,9,70,19,-3.385008577765051,0.0008195323762654268,0.0013102786237349073,-3.3759539982167075,0.0017708495898987508,0.001298405736153146
7120,3,9,70,20,-3.387397293682067,0.00036866392948304,0.0012890748247518778,-3.335907206126934,0.0032108276068741493,0.0012406493925196022
7121,3,9,70,21,-3.3654992628294336,-0.0007015517404825435,0.0011016570172045373,-3.346421576312803,-0.0008983663339191816,0.0010778382166861107
7122,3,9,70,22,-3.3880019363145966,0.002772442408428038,0.00114286899174967,-3.3703130493527342,0.001094070790691084,0.0011885080913223984
7123,3,9,70,23,-3.347891922830478,0.0020236623684416425,0.0010643500017594458,-3.33746516393257,0.007882704407958484,0.001074335304275309
7124,3,9,70,24,-3.368158679358177,0.00014011090285908387,0.0014793497331127455,-3.341414245591493,0.0011142909423882614,0.0014930494924421695
7125,3,9,70,25,-3.3847183397657368,0.004598304923513437,0.0014091803842202523,-3.3680234252752164,0.003526094665244085,0.0014027939076008454
7126,3,9,70,26,-3.3835193919562085,-0.0006282827835596067,0.0011448520158641828,-3.3333310341018714,0.0025154597103739067,0.0011446515335794172
7127,3,9,70,27,-3.3552985369728034,0.0007931888796239136,0.001205589692591638,-3.3356551751290366,0.0008381376671258353,0.001178714354990732
7128,3,9,70,28,-3.380579732463559,0.0019140914660733454,0.0011912959088326756,-3.383486152428799,0.0020657272225258413,0.0011977575694063075
7129,3,9,70,29,-3.361924437107676,0.00016050654684703178,0.0011763387707271638,-3.3539966611126957,0.0026476056731252074,0.0011756799151946295
7130,3,9,70,30,-3.3840302226022545,0.0014115685369352213,0.0012570364689141976,-3.3594775648610264,0.0013430490728526055,0.001247234788908918
7131,3,9,70,31,-3.375527721179723,0.0010941486970062323,0.0012146874058344454,-3.3764423990302945,0.0025245463261550577,0.0012177707074400826
7132,3,9,70,32,-3.355665636831391,-7.991171443797536e-05,0.0013682714257706441,-3.348974889574735,0.0021719735051187634,0.001334168983047257
7133,3,9,70,33,-3.3925164743338665,-0.001516943813585155,0.0012257099939906838,-3.366236902938194,-0.0020025548106933195,0.001204106944335741
7134,3,9,70,34,-3.3864757668811722,0.0011319465302192847,0.001161889816624824,-3.3497059204478266,0.0030021692080421086,0.0011248837285629371
7135,3,9,70,35,-3.3880708385012706,0.0007332734206955708,0.0013827541380985286,-3.3640449223006526,0.002934466360648259,0.0013974853061548241
7136,3,9,70,36,-3.3745204064460403,0.0008205701253609788,0.0012356401483512888,-3.3588007055060833,0.0008215360472660772,0.001213727154611374
7137,3,9,70,37,-3.3622349216943515,0.003278471133824627,0.001146506761991717,-3.35391761720207,0.004217818748348414,0.001144925488011944
7138,3,9,70,38,-3.3694113916674766,-0.0019642499472926037,0.001257175711908404,-3.3609272127616703,4.444815092368229e-05,0.0012512668534966306
7139,3,9,70,39,-3.363158576654144,0.0005614893402892478,0.0013615296987530383,-3.3435807451874533,0.001317758581694952,0.0013500953049997778
7140,3,9,70,40,-3.3890070416565656,0.0002481350065888289,0.001066223371351288,-3.358881368082938,0.0007009126960834022,0.0010236334744001747
7141,3,9,70,41,-3.3748052794459507,0.0,0.001230798380961607,-3.3499500461717293,0.0016390754242584613,0.0012323119009102787
7142,3,9,70,42,-3.3914810735562133,0.0003580682684650794,0.001219328568483536,-3.367680663768274,-0.00038898426284754753,0.001202197948487139
7143,3,9,70,43,-3.359682351052824,0.0010731336438014828,0.0012635210621362643,-3.368244214924029,0.002502773945729955,0.0012603632226486396
7144,3,9,70,44,-3.398293048757199,0.0005924943916266673,0.0011030072353737756,-3.3623858951280594,0.0007405685098486655,0.0011226764185605677
7145,3,9,70,45,-3.387445228603405,-0.00035090465835098156,0.0012805883063658555,-3.361105744778815,-0.0002691826927855815,0.0012580517452645311
7146,3,9,70,46,-3.4061350646000736,0.00015469382121179433,0.0013663572171275873,-3.3846712652827136,0.0019554991393629624,0.0013192596317375483
7147,3,9,70,47,-3.3874731492064027,-0.00038947266707307037,0.0010960096110926069,-3.3677815250497143,0.0019443552795504547,0.0011166822423832052
7148,3,9,70,48,-3.3910702479007586,0.0028458461450936515,0.0013535124867489331,-3.3532876560320037,0.0016570281222359606,0.001334844495546845
7149,3,9,70,49,-3.3896665018319996,-0.0007703962368151537,0.0011320623488291423,-3.3828720622693575,0.00203778625431506,0.0011312793822960093
7150,3,9,70,50,-3.380203917727617,-0.001609455881561185,0.0011182484959507476,-3.360369181840004,0.0005350860751315027,0.0011335901807751796
7151,3,9,70,51,-3.3805722091813992,0.001127003689759929,0.0010338478722278844,-3.3696533621911557,0.0014101429409771476,0.0010286504073563584
7152,3,9,70,52,-3.3813132169406486,-0.0001193357814230731,0.0014066632454264587,-3.3790143799392625,0.0035898261256520226,0.0014154943928199526
7153,3,9,70,53,-3.3743478820255883,0.002609513513712347,0.0013702441160355259,-3.3455602411287813,0.002511964797409323,0.0013411112141051534
7154,3,9,70,54,-3.3788187735413193,0.0016361473876006143,0.001188102001059998,-3.374309523424787,0.0031909671987017194,0.001190390485685275
7155,3,9,70,55,-3.384385036468162,0.001531365098235413,0.0012090816609738502,-3.3596380584766985,0.004520044334530505,0.0011854167608162961
7156,3,9,70,56,-3.3859198798578523,0.00023303660746559198,0.0011119782111909753,-3.3376339386668934,0.00132489332101315,0.0011116577899598758
7157,3,9,70,57,-3.37874608640344,0.001544133191251234,0.00136096510892152,-3.3634604581704406,0.0034585265149823154,0.001321880731945741
7158,3,9,70,58,-3.375952050351241,0.00023090096714537206,0.0012244179789333307,-3.3731440990228907,0.001955973180922597,0.0011946608207935084
7159,3,9,70,59,-3.396161362056632,9.738199350497329e-05,0.0012897208970060988,-3.3702464993201704,0.00028291303681357766,0.0012715516543956472
7160,3,9,70,60,-3.3983645473347397,0.0027393876187541176,0.0010802499212419978,-3.3962123375787465,0.0035102810750422654,0.0011351959252305687
7161,3,9,70,61,-3.3743982984277854,-0.0034386093982043883,0.0012391235144245238,-3.342762087740026,0.00209256707324202,0.001250653835582237
7162,3,9,70,62,-3.3739161925357735,-0.0008527734736253269,0.0010978178418730613,-3.3495331532170556,-0.0009382151361176751,0.0010937671116687795
7163,3,9,70,63,-3.403118122510704,0.00023889152507708942,0.0010671519292167547,-3.3835539428031653,0.0030602442460965105,0.0010179047035425077
7164,3,9,70,64,-3.3882401031990885,-0.0005773418495927128,0.0012382688089861062,-3.357976311653782,0.0037234256672859954,0.0012377400294743953
7165,3,9,70,65,-3.3327035045049898,0.0023385430616731746,0.001296360829507607,-3.320863692931831,0.0019914709026310194,0.0012887171055031166
7166,3,9,70,66,-3.3493750206641972,0.0005479971849756583,0.0013393154447316135,-3.322581749802215,0.001294107044250016,0.0013211481830961403
7167,3,9,70,67,-3.3974456249991363,-0.00188055174329119,0.0011976872060199106,-3.3786417404671436,0.0023589103124302003,0.0011103319268243104
7168,3,9,70,68,-3.367445435285263,0.0006352173741604444,0.0013359062239220723,-3.3379264098718426,0.0011680559081336968,0.0013451304612429698
7169,3,9,70,69,-3.3944094078115836,-0.0014174752633998268,0.0011668979529426433,-3.365451238035069,0.00023451198435058256,0.0011391748126443342
7170,3,9,70,70,-3.370777800424007,-0.00031651078775809583,0.0013468285588581984,-3.3499979910953583,0.0023281163703213034,0.001342549911813552
7171,3,9,70,71,-3.3753458864599413,0.0008452898494377668,0.0011579628246082337,-3.353823854629432,0.0007671754262389226,0.0011421541941613088
7172,3,9,70,72,-3.407516895092292,0.0012678286539264017,0.0013664146270774102,-3.3889563404625407,0.0035982253637771846,0.0013940172005503164
7173,3,9,70,73,-3.355238537071046,-0.0013118620405653235,0.0014382053383203879,-3.352082114918081,-0.0006974298098133427,0.0014357153317393406
7174,3,9,70,74,-3.3753208873128933,0.0004472156226835108,0.0013091473032527101,-3.336639774290386,0.0006794019723428295,0.0012924109474234243
7175,3,9,70,75,-3.3738873838886683,0.0032445003469031394,0.0012071352481669005,-3.3610968440743747,0.004353536555294874,0.001193970147056884
7176,3,9,70,76,-3.3916963381214575,-0.001124797688813951,0.0013186892907399526,-3.3791212969636044,0.0010429290451830792,0.0013467288247975666
7177,3,9,70,77,-3.393967587644757,0.001147323418215713,0.0011866428714248129,-3.387657743196101,0.00036195652212876533,0.001192437831164758
7178,3,9,70,78,-3.361418661672382,-0.00039515145172752436,0.0012027459669962555,-3.3340379904625994,0.00041541215403085034,0.0011837867213055344
7179,3,9,70,79,-3.337515388457745,0.001808199895759683,0.0012348593403706336,-3.3183591716580656,0.00560841961130989,0.0012111942168659814
7180,3,9,70,80,-3.376959783611993,0.0021407560382275884,0.0013864654191721912,-3.352647938354336,0.0013270214858577204,0.001354008824625836
7181,3,9,70,81,-3.3719931541001333,0.0002791204688482145,0.0013599396431281854,-3.341461038850742,0.0019440701614020566,0.0013347120447421545
7182,3,9,70,82,-3.3684783046734754,0.00012651850992515825,0.0012608659268318276,-3.3382230035616907,-0.0001223180749924766,0.0012517670237042042
7183,3,9,70,83,-3.3745647353882062,0.0022681423012304845,0.001039898639770513,-3.366718458017878,0.0022372493710398613,0.001019540799595407
7184,3,9,70,84,-3.3884530140977365,0.001154180570546577,0.0012263374425668977,-3.345222695609991,0.0021209922570156895,0.00121672333256984
7185,3,9,70,85,-3.3696721517761556,-0.001203535867169918,0.001142230262891937,-3.3522844291936895,0.00037306940404730426,0.0011253235093119595
7186,3,9,70,86,-3.3913354193328664,0.005320958838932164,0.0011830009105571722,-3.3746944292626333,0.004742320829753555,0.0011747132724951636
7187,3,9,70,87,-3.3837120194212957,-0.003040589435428479,0.0011932972296755037,-3.3733040485765033,0.0026029908938372446,0.0012175536094076868
7188,3,9,70,88,-3.39208641478653,-0.001271029270280488,0.0012648615507962293,-3.378050729159761,-0.0020673889754135462,0.001247178899785816
7189,3,9,70,89,-3.3827730406102603,0.001991618983163643,0.0013371926610575824,-3.379681488036369,0.002498478973812392,0.0013468104442371054
7190,3,9,70,90,-3.3843007357426194,-0.0004278460325611662,0.0010216215513890264,-3.3694782558289718,0.0025526530819406225,0.0010440901196188557
7191,3,9,70,91,-3.368892241465412,0.0031557942257828308,0.00115986170053057,-3.3537765674737714,0.0029715681484950127,0.0011555129179152842
7192,3,9,70,92,-3.379581823305765,0.0010747853708251995,0.001294376036819297,-3.3695185842543696,0.001490609435991602,0.0012772436259570962
7193,3,9,70,93,-3.372625303854046,0.0008232929768455478,0.0013146192336207982,-3.340481709840933,0.0014015155940261925,0.0012898780526563443
7194,3,9,70,94,-3.3647691428199935,0.0003497764767542819,0.0011729638366156558,-3.347076056125808,0.00011044844256118255,0.0011567747296959867
7195,3,9,70,95,-3.40413513455613,0.00018830472013198283,0.0008794669755671468,-3.359981908212855,0.0012165667959710223,0.0009383795139195016
7196,3,9,70,96,-3.3697479523255596,0.0012574335956807119,0.0011633494244815033,-3.3859736133893352,0.0011938987742228747,0.0011907493669586573
7197,3,9,70,97,-3.385489968481434,0.0015851507920691171,0.0013038502494529417,-3.3554251961171704,0.001064091769315748,0.0012803851308754099
7198,3,9,70,98,-3.4079276054301633,0.00103329267756882,0.0012426831005562817,-3.3883055750198974,0.004274821799818257,0.0012534416302730205
